GOI Summary
ValidPrime Version: v.0.9.2
Input file: H:/jiaco/Dropbox/VP-tests/AAChip09-02-11_2short.txt
Input format: Biomark
Date/Time: Aug 23 2011 11:49
VPAssay: m1qB_2
Valid gDNA rows: _80_gDNA 5 _79_gDNA 50 _78_gDNA 500 _77_gDNA 2500 _76_gDNA 5000 _75_gDNA 10000
gDNA concentrations: 5 50 500 2500 5000 10000
LinReg all-gDNA: slope -3.0489; Eff 112.808; R2 0.99842
LinReg VPA-gDNA: slope -3.0489; Eff 112.808; R2 0.99842
ValidateAssays: true
LOD: 40
DeltaCq Min Count: 3
DeltaCq AllSD Cutoff: 0.3
DeltaCq LooSD Cutoff: 0.2
Grade A: 3
Grade B: 25
Grade C: 60

GOI	gDNA Index Count	Flag	Confidence	All Sd	LOO Sd	gDNA Outlier	Slope	Eff	R2	nA*	nA	nB	nC	nF	nK0	nND
ptp1b	4	NoFlag	Low	1.25775	0	ND	-0.431744	20610.5	0.960938	0	9	0	0	0	0	0	0
ptp4a1	6	NoFlag	Low	0.743893	0	ND	-3.56782	90.6705	0.997741	0	2	3	4	0	0	0	0
ptrf	3	NoFlag	Low	2.22826	0	ND	-0.0181149	1.59636e+57	0.00378071	0	9	0	0	0	0	0	0
ramp3	4	NoFlag	Low	4.20788	0	ND	-0.25387	868922	0.759492	0	9	0	0	0	0	0	0
rasd1	6	NoFlag	High	0.163979	0	ND	-3.08087	111.147	0.995831	0	4	3	2	0	0	0	0
sox17	6	NoFlag	Low	0.838327	0	ND	-3.65697	87.6939	0.997574	0	4	5	0	0	0	0	0
sox4	6	NoFlag	High	0.224001	0	ND	-3.19473	105.596	0.99585	0	3	1	3	2	0	0	0
sprr2f	6	NoFlag	High	0.254133	0	ND	-2.43935	157.007	0.946708	0	2	2	3	2	0	0	0
tgfbeta1	0	A++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
tgfbeta3	6	NoFlag	Low	0.310204	0	ND	-3.22188	104.351	0.998668	0	3	2	3	1	0	0	0
tnxb	5	NoFlag	Low	1.04725	0	ND	-2.51616	149.707	0.841053	0	9	0	0	0	0	0	0
tpt1	6	NoFlag	Low	0.338151	0	ND	-2.94154	118.755	0.987831	0	9	0	0	0	0	0	0
txnip	4	NoFlag	Low	0.526978	0	ND	-1.17005	615.589	0.834831	0	9	0	0	0	0	0	0
ubb	6	NoFlag	High	0.275217	0	ND	-3.22607	104.162	0.99901	0	8	1	0	0	0	0	0
