VP Report
ValidPrime Version: v.0.9.2
Input file: H:/jiaco/Dropbox/VP-tests/AAChip09-02-11_2short.txt
Input format: Biomark
Date/Time: Aug 23 2011 11:49
VPAssay: m1qB_2
Valid gDNA rows: _80_gDNA 5 _79_gDNA 50 _78_gDNA 500 _77_gDNA 2500 _76_gDNA 5000 _75_gDNA 10000
gDNA concentrations: 5 50 500 2500 5000 10000
LinReg all-gDNA: slope -3.0489; Eff 112.808; R2 0.99842
LinReg VPA-gDNA: slope -3.0489; Eff 112.808; R2 0.99842
ValidateAssays: true
LOD: 40
DeltaCq Min Count: 3
DeltaCq AllSD Cutoff: 0.3
DeltaCq LooSD Cutoff: 0.2
Grade A: 3
Grade B: 25
Grade C: 60

GOI	Sample	Note	CqInput	CqDNA Count	CqDNA	PctDNA	CqRNA
egr1	_88_RT1, DNaseplus2500	NOCALC	14.7883	6	18.393	8.21992	0
egr1	_89_RT1, DNaseplus10000	NOCALC	14.897	6	17.6253	15.0911	0
pgr	_81_RT2, DNase	NOCALC	15.3781	6	29.0068	0.00789469	0
pgr	_82_RT2, DNaseplus500	NOCALC	14.6576	6	21.1907	1.07981	0
pgr	_83_RT2, DNaseplus2500	NOCALC	15.3945	6	19.2015	7.14482	0
pgr	_84_RT2, DNaseplus10000	NOCALC	13.762	6	17.6361	6.81997	0
pgr	_85_RT1, DNase	NOCALC	16.4789	6	27.8674	0.0373008	0
pgr	_86_RT1, DNaseplus50	NOCALC	16.9765	6	24.8769	0.41855	0
pgr	_87_RT1, DNaseplus500	NOCALC	17.0987	6	22.4878	2.38631	0
pgr	_88_RT1, DNaseplus2500	NOCALC	16.439	6	20.018	8.36826	0
pgr	_89_RT1, DNaseplus10000	NOCALC	16.9056	6	19.2502	19.6887	0
hspa5	_81_RT2, DNase	NOCALC	12.0574	4	32.3097	8.0065e-05	0
hspa5	_82_RT2, DNaseplus500	NOCALC	11.4973	4	24.4936	0.0122389	0
hspa5	_83_RT2, DNaseplus2500	NOCALC	12.2658	4	22.5044	0.0827734	0
hspa5	_84_RT2, DNaseplus10000	NOCALC	11.2728	4	20.9389	0.123087	0
hspa5	_85_RT1, DNase	NOCALC	13.9353	4	31.1703	0.000648248	0
hspa5	_86_RT1, DNaseplus50	NOCALC	13.9489	4	28.1798	0.00520085	0
hspa5	_87_RT1, DNaseplus500	NOCALC	14.0741	4	25.7906	0.0297153	0
hspa5	_88_RT1, DNaseplus2500	NOCALC	13.6482	4	23.3208	0.122528	0
hspa5	_89_RT1, DNaseplus10000	NOCALC	14.1368	4	22.5531	0.292717	0
cxcr7	_81_RT2, DNase	NOCALC	20.4406	6	32.9284	0.0174094	0
cxcr7	_82_RT2, DNaseplus500	NOCALC	19.2986	6	25.1123	1.77787	0
cxcr7	_83_RT2, DNaseplus2500	NOCALC	19.8402	6	23.1231	10.2745	0
cxcr7	_84_RT2, DNaseplus10000	NOCALC	18.0031	6	21.5577	8.5111	0
cxcr7	_85_RT1, DNase	NOCALC	21.7652	6	31.789	0.0960547	0
cxcr7	_86_RT1, DNaseplus50	NOCALC	22.55	6	28.7985	1.31527	0
cxcr7	_87_RT1, DNaseplus500	NOCALC	22.756	6	26.4093	7.94736	0
cxcr7	_88_RT1, DNaseplus2500	NOCALC	21.5937	6	23.9395	19.6715	0
cxcr7	_89_RT1, DNaseplus10000	NOCALC	22.2924	6	23.1718	54.3613	0
hprt1	_81_RT2, DNase	NOCALC	14.6339	5	29.4735	0.00341067	0
hprt1	_82_RT2, DNaseplus500	NOCALC	14.0554	5	21.6573	0.514745	0
hprt1	_83_RT2, DNaseplus2500	NOCALC	14.4766	5	19.6681	2.73648	0
hprt1	_84_RT2, DNaseplus10000	NOCALC	13.4288	5	18.1027	3.91757	0
hprt1	_85_RT1, DNase	NOCALC	16.3377	5	28.334	0.0244768	0
hprt1	_86_RT1, DNaseplus50	NOCALC	16.2119	5	25.3435	0.178285	0
hprt1	_87_RT1, DNaseplus500	NOCALC	16.0291	5	22.9544	0.822817	0
hprt1	_88_RT1, DNaseplus2500	NOCALC	15.6223	5	20.4846	3.438	0
hprt1	_89_RT1, DNaseplus10000	NOCALC	16.2183	5	19.7168	8.8482	0
ubb	_81_RT2, DNase	NOCALC	9.54977	6	25.1852	0.0019646	0
ubb	_82_RT2, DNaseplus500	NOCALC	9.03851	6	17.369	0.310645	0
ubb	_83_RT2, DNaseplus2500	NOCALC	9.68831	6	15.3798	1.93502	0
ubb	_84_RT2, DNaseplus10000	NOCALC	8.70418	6	13.8144	2.89515	0
ubb	_85_RT1, DNase	NOCALC	10.485	6	24.0457	0.00827601	0
ubb	_86_RT1, DNaseplus50	NOCALC	10.3814	6	21.0553	0.0612143	0
ubb	_87_RT1, DNaseplus500	NOCALC	10.3581	6	18.6661	0.315539	0
ubb	_88_RT1, DNaseplus2500	NOCALC	10.1504	6	16.1963	1.51354	0
ubb	_89_RT1, DNaseplus10000	CALC	10.4282	6	15.4285	3.12429	10.474
igfbp6	_81_RT2, DNase	NOCALC	13.9901	6	25.341	0.0382869	0
igfbp6	_82_RT2, DNaseplus500	NOCALC	13.4554	6	17.5248	5.95637	0
igfbp6	_83_RT2, DNaseplus2500	NOCALC	13.9877	6	15.5356	34.1996	0
igfbp6	_84_RT2, DNaseplus10000	NOCALC	12.951	6	13.9702	49.3395	0
igfbp6	_85_RT1, DNase	NOCALC	13.9376	6	24.2016	0.0813266	0
igfbp6	_86_RT1, DNaseplus50	NOCALC	13.8956	6	21.2111	0.627826	0
igfbp6	_87_RT1, DNaseplus500	NOCALC	13.9313	6	18.8219	3.37133	0
igfbp6	_88_RT1, DNaseplus2500	NOCALC	13.5638	6	16.3521	14.4756	0
igfbp6	_89_RT1, DNaseplus10000	NOCALC	13.8897	6	15.5843	30.8924	0
sox17	_81_RT2, DNase	NOCALC	16.0786	6	27.9918	0.0259278	0
sox17	_82_RT2, DNaseplus500	NOCALC	15.4841	6	20.1757	3.86977	0
sox17	_83_RT2, DNaseplus2500	NOCALC	15.6826	6	18.1865	17.631	0
sox17	_84_RT2, DNaseplus10000	NOCALC	14.4333	6	16.621	21.95	0
sox17	_85_RT1, DNase	NOCALC	15.5444	6	26.8524	0.0394418	0
sox17	_86_RT1, DNaseplus50	NOCALC	15.5723	6	23.8619	0.319588	0
sox17	_87_RT1, DNaseplus500	NOCALC	15.9037	6	21.4727	2.10647	0
sox17	_88_RT1, DNaseplus2500	NOCALC	15.2006	6	19.0029	7.16779	0
sox17	_89_RT1, DNaseplus10000	NOCALC	15.3466	6	18.2352	13.5039	0
gadd45a	_81_RT2, DNase	NOCALC	14.2447	5	32.4552	0.000329679	0
gadd45a	_82_RT2, DNaseplus500	NOCALC	13.6087	5	24.639	0.0478116	0
gadd45a	_83_RT2, DNaseplus2500	NOCALC	14.4111	5	22.6498	0.331055	0
gadd45a	_84_RT2, DNaseplus10000	NOCALC	13.3563	5	21.0844	0.47163	0
gadd45a	_85_RT1, DNase	NOCALC	16.7897	5	31.3158	0.00423856	0
gadd45a	_86_RT1, DNaseplus50	NOCALC	16.8379	5	28.3253	0.0348297	0
gadd45a	_87_RT1, DNaseplus500	NOCALC	17.0117	5	25.9361	0.205818	0
gadd45a	_88_RT1, DNaseplus2500	NOCALC	16.5874	5	23.4663	0.84966	0
gadd45a	_89_RT1, DNaseplus10000	NOCALC	17.0328	5	22.6985	1.96993	0
ptp4a1	_81_RT2, DNase	NOCALC	13.7434	6	24.3013	0.0663351	0
ptp4a1	_82_RT2, DNaseplus500	NOCALC	12.7154	6	16.4852	7.33131	0
ptp4a1	_83_RT2, DNaseplus2500	NOCALC	12.9283	6	14.4959	33.7369	0
ptp4a1	_84_RT2, DNaseplus10000	NOCALC	11.6527	6	12.9305	41.2409	0
ptp4a1	_85_RT1, DNase	NOCALC	15.6253	6	23.1619	0.538605	0
ptp4a1	_86_RT1, DNaseplus50	NOCALC	15.1576	6	20.1714	3.09538	0
ptp4a1	_87_RT1, DNaseplus500	NOCALC	14.79	6	17.7822	12.568	0
ptp4a1	_88_RT1, DNaseplus2500	NOCALC	13.7772	6	15.3124	34.5023	0
ptp4a1	_89_RT1, DNaseplus10000	NOCALC	13.4171	6	14.5447	45.7678	0
cyr61	_81_RT2, DNase	NOCALC	13.4943	6	27.3686	0.00665943	0
cyr61	_82_RT2, DNaseplus500	NOCALC	12.8996	6	19.5524	0.993771	0
cyr61	_83_RT2, DNaseplus2500	NOCALC	13.786	6	17.5632	7.29341	0
cyr61	_84_RT2, DNaseplus10000	NOCALC	12.6854	6	15.9978	10.0662	0
cyr61	_85_RT1, DNase	NOCALC	17.4321	6	26.2291	0.224816	0
cyr61	_86_RT1, DNaseplus50	NOCALC	17.6584	6	23.2387	2.09016	0
cyr61	_87_RT1, DNaseplus500	NOCALC	17.7994	6	20.8495	12.0735	0
cyr61	_88_RT1, DNaseplus2500	NOCALC	16.7307	6	18.3797	31.8871	0
cyr61	_89_RT1, DNaseplus10000	NOCALC	16.4511	6	17.6119	44.7248	0
aars	_81_RT2, DNase	NOCALC	14.3317	6	31.0807	0.000907881	0
aars	_82_RT2, DNaseplus500	NOCALC	13.9217	6	23.2646	0.153996	0
aars	_83_RT2, DNaseplus2500	NOCALC	14.5876	6	21.2754	0.970028	0
aars	_84_RT2, DNaseplus10000	NOCALC	13.5592	6	19.71	1.40744	0
aars	_85_RT1, DNase	NOCALC	17.2755	6	29.9413	0.0153889	0
aars	_86_RT1, DNaseplus50	NOCALC	17.1249	6	26.9508	0.110183	0
aars	_87_RT1, DNaseplus500	NOCALC	17.3247	6	24.5616	0.662917	0
aars	_88_RT1, DNaseplus2500	NOCALC	16.7722	6	22.0919	2.50397	0
aars	_89_RT1, DNaseplus10000	NOCALC	17.3052	6	21.3241	6.16846	0
ar	_81_RT2, DNase	NOCALC	15.8341	6	33.3511	0.000533189	0
ar	_82_RT2, DNaseplus500	NOCALC	15.2362	6	25.5349	0.0793943	0
ar	_83_RT2, DNaseplus2500	NOCALC	15.8986	6	23.5457	0.498867	0
ar	_84_RT2, DNaseplus10000	NOCALC	14.6803	6	21.9803	0.634576	0
ar	_85_RT1, DNase	NOCALC	15.7982	6	32.2116	0.00114568	0
ar	_86_RT1, DNaseplus50	NOCALC	15.6979	6	29.2211	0.00849352	0
ar	_87_RT1, DNaseplus500	NOCALC	15.8478	6	26.832	0.0493662	0
ar	_88_RT1, DNaseplus2500	NOCALC	15.4141	6	24.3622	0.202465	0
ar	_89_RT1, DNaseplus10000	NOCALC	15.944	6	23.5944	0.497734	0
m15qE3_2	_81_RT2, DNase	CALC	24.6226	6	25.8303	43.2956	25.441
m15qE3_2	_82_RT2, DNaseplus500	NOCALC	17.9771	6	18.0141	97.4665	0
m15qE3_2	_83_RT2, DNaseplus2500	NOCALC	15.8191	6	16.0249	86.7026	0
m15qE3_2	_84_RT2, DNaseplus10000	NOCALC	14.1989	6	14.4595	83.4753	0
m15qE3_2	_86_RT1, DNaseplus50	NOCALC	21.5542	6	21.7004	90.3642	0
m15qE3_2	_87_RT1, DNaseplus500	NOCALC	18.7357	6	19.3112	67.1085	0
m15qE3_2	_88_RT1, DNaseplus2500	NOCALC	16.6429	6	16.8414	87.1442	0
m15qE3_2	_89_RT1, DNaseplus10000	NOCALC	15.5645	6	16.0736	70.2652	0
errfi1	_81_RT2, DNase	NOCALC	15.5251	4	31.4617	0.0015944	0
errfi1	_82_RT2, DNaseplus500	NOCALC	14.9169	4	23.6456	0.235733	0
errfi1	_84_RT2, DNaseplus10000	NOCALC	14.6576	4	20.0909	2.31418	0
errfi1	_85_RT1, DNase	NOCALC	19.6177	4	30.3223	0.0599228	0
errfi1	_86_RT1, DNaseplus50	NOCALC	19.5643	4	27.3318	0.458923	0
errfi1	_87_RT1, DNaseplus500	NOCALC	19.5328	4	24.9426	2.35221	0
errfi1	_88_RT1, DNaseplus2500	NOCALC	19.228	4	22.4728	10.5492	0
errfi1	_89_RT1, DNaseplus10000	NOCALC	19.8298	4	21.7051	27.258	0
fos	_81_RT2, DNase	NOCALC	13.2924	3	33.8945	6.28276e-05	0
fos	_82_RT2, DNaseplus500	NOCALC	12.7365	3	26.0783	0.00963203	0
fos	_83_RT2, DNaseplus2500	NOCALC	13.4456	3	24.0891	0.0625155	0
fos	_84_RT2, DNaseplus10000	NOCALC	12.3263	3	22.5237	0.0851699	0
fos	_85_RT1, DNase	NOCALC	18.1792	3	32.755	0.00409474	0
fos	_86_RT1, DNaseplus50	NOCALC	18.1858	3	29.7645	0.0326925	0
fos	_87_RT1, DNaseplus500	NOCALC	18.0793	3	27.3754	0.159081	0
fos	_88_RT1, DNaseplus2500	NOCALC	17.7959	3	24.9056	0.724041	0
fos	_89_RT1, DNaseplus10000	NOCALC	18.3711	3	24.1378	1.83677	0
atf3	_81_RT2, DNase	NOCALC	17.4793	3	34.6109	0.000696458	0
atf3	_82_RT2, DNaseplus500	NOCALC	16.8801	3	26.7947	0.10361	0
atf3	_83_RT2, DNaseplus2500	NOCALC	17.7657	3	24.8055	0.760008	0
atf3	_84_RT2, DNaseplus10000	NOCALC	16.2354	3	23.2401	0.778729	0
atf3	_85_RT1, DNase	NOCALC	20.2665	3	33.4714	0.0105904	0
atf3	_86_RT1, DNaseplus50	NOCALC	20.1652	3	30.4809	0.0784621	0
atf3	_87_RT1, DNaseplus500	NOCALC	21.0277	3	28.0918	0.747313	0
atf3	_88_RT1, DNaseplus2500	NOCALC	20.8001	3	25.622	3.53572	0
atf3	_89_RT1, DNaseplus10000	NOCALC	21.1259	3	24.8542	7.54516	0
p21	_81_RT2, DNase	NOCALC	15.0271	5	34.059	0.000186565	0
p21	_82_RT2, DNaseplus500	NOCALC	14.3647	5	26.2429	0.026566	0
p21	_83_RT2, DNaseplus2500	NOCALC	15.2629	5	24.2537	0.196566	0
p21	_84_RT2, DNaseplus10000	NOCALC	13.8217	5	22.6882	0.214248	0
p21	_85_RT1, DNase	NOCALC	19.0541	5	32.9196	0.00670012	0
p21	_86_RT1, DNaseplus50	NOCALC	19.2722	5	29.9291	0.0619375	0
p21	_87_RT1, DNaseplus500	NOCALC	19.5967	5	27.5399	0.406312	0
p21	_88_RT1, DNaseplus2500	NOCALC	18.8528	5	25.0701	1.344	0
p21	_89_RT1, DNaseplus10000	NOCALC	19.1974	5	24.3024	2.90564	0
gadd45g	_81_RT2, DNase	NOCALC	12.1717	4	34.0655	2.56648e-05	0
gadd45g	_82_RT2, DNaseplus500	NOCALC	11.6348	4	26.2493	0.00398655	0
gadd45g	_83_RT2, DNaseplus2500	NOCALC	12.2911	4	24.2601	0.0249448	0
gadd45g	_84_RT2, DNaseplus10000	NOCALC	11.3104	4	22.6947	0.0374094	0
gadd45g	_85_RT1, DNase	NOCALC	17.0393	4	32.926	0.00165054	0
gadd45g	_86_RT1, DNaseplus50	NOCALC	17.1204	4	29.9355	0.0138761	0
gadd45g	_87_RT1, DNaseplus500	NOCALC	17.3127	4	27.5464	0.0830532	0
gadd45g	_88_RT1, DNaseplus2500	NOCALC	16.7483	4	25.0766	0.311123	0
gadd45g	_89_RT1, DNaseplus10000	NOCALC	16.9986	4	24.3088	0.630103	0
ramp3	_81_RT2, DNase	NOCALC	13.3632	4	34.5303	4.24696e-05	0
ramp3	_82_RT2, DNaseplus500	NOCALC	12.8588	4	26.7141	0.00674711	0
ramp3	_83_RT2, DNaseplus2500	NOCALC	13.5747	4	24.7249	0.0439994	0
ramp3	_84_RT2, DNaseplus10000	NOCALC	12.5239	4	23.1595	0.0628571	0
ramp3	_85_RT1, DNase	NOCALC	16.4972	4	33.3908	0.000821305	0
ramp3	_86_RT1, DNaseplus50	NOCALC	16.6751	4	30.4004	0.00738381	0
ramp3	_87_RT1, DNaseplus500	NOCALC	16.7458	4	28.0112	0.0406253	0
ramp3	_88_RT1, DNaseplus2500	NOCALC	16.2733	4	25.5414	0.162195	0
ramp3	_89_RT1, DNaseplus10000	NOCALC	16.713	4	24.7736	0.37456	0
cars	_81_RT2, DNase	NOCALC	17.3418	5	33.4376	0.0014278	0
cars	_82_RT2, DNaseplus500	NOCALC	16.7194	5	25.6215	0.20903	0
cars	_83_RT2, DNaseplus2500	NOCALC	17.2672	5	23.6323	1.21321	0
cars	_84_RT2, DNaseplus10000	NOCALC	16.2147	5	22.0668	1.73112	0
cars	_85_RT1, DNase	NOCALC	20.2455	5	32.2982	0.0235376	0
cars	_86_RT1, DNaseplus50	NOCALC	20.0824	5	29.3077	0.167073	0
cars	_87_RT1, DNaseplus500	NOCALC	20.0052	5	26.9185	0.829614	0
cars	_88_RT1, DNaseplus2500	NOCALC	19.6493	5	24.4487	3.59102	0
cars	_89_RT1, DNaseplus10000	NOCALC	20.1591	5	23.681	8.70592	0
esr1 ex1	_81_RT2, DNase	NOCALC	15.275	5	27.2038	0.0256495	0
esr1 ex1	_82_RT2, DNaseplus500	NOCALC	14.4843	5	19.3877	3.34151	0
esr1 ex1	_83_RT2, DNaseplus2500	NOCALC	15.0394	5	17.3985	19.4921	0
esr1 ex1	_84_RT2, DNaseplus10000	NOCALC	13.8094	5	15.8331	24.5941	0
esr1 ex1	_85_RT1, DNase	NOCALC	15.2915	5	26.0644	0.0571522	0
esr1 ex1	_86_RT1, DNaseplus50	NOCALC	15.47	5	23.0739	0.514018	0
esr1 ex1	_87_RT1, DNaseplus500	NOCALC	15.4423	5	20.6847	2.64158	0
esr1 ex1	_88_RT1, DNaseplus2500	NOCALC	14.7685	5	18.2149	9.17311	0
esr1 ex1	_89_RT1, DNaseplus10000	NOCALC	15.1657	5	17.4472	20.5688	0
ipo5	_81_RT2, DNase	NOCALC	13.7857	6	28.822	0.00297594	0
ipo5	_82_RT2, DNaseplus500	NOCALC	13.2359	6	21.0058	0.458164	0
ipo5	_83_RT2, DNaseplus2500	NOCALC	13.9739	6	19.0166	3.03389	0
ipo5	_84_RT2, DNaseplus10000	NOCALC	12.7862	6	17.4512	3.9418	0
ipo5	_85_RT1, DNase	NOCALC	15.4036	6	27.6825	0.0201225	0
ipo5	_86_RT1, DNaseplus50	NOCALC	15.5366	6	24.692	0.175357	0
ipo5	_87_RT1, DNaseplus500	NOCALC	15.6754	6	22.3029	1.0114	0
ipo5	_88_RT1, DNaseplus2500	NOCALC	15.0874	6	19.8331	3.72753	0
ipo5	_89_RT1, DNaseplus10000	NOCALC	15.5366	6	19.0653	8.66433	0
gja1	_81_RT2, DNase	NOCALC	15.4613	3	34.2447	0.000221629	0
gja1	_82_RT2, DNaseplus500	NOCALC	14.8669	3	26.4285	0.0330819	0
gja1	_83_RT2, DNaseplus2500	NOCALC	15.5619	3	24.4393	0.212623	0
gja1	_84_RT2, DNaseplus10000	NOCALC	14.2785	3	22.8739	0.258538	0
gja1	_85_RT1, DNase	NOCALC	16.1095	3	33.1053	0.000765201	0
gja1	_86_RT1, DNaseplus50	NOCALC	16.226	3	30.1148	0.00659274	0
gja1	_87_RT1, DNaseplus500	NOCALC	16.3233	3	27.7256	0.036945	0
gja1	_88_RT1, DNaseplus2500	NOCALC	15.7551	3	25.2558	0.138042	0
gja1	_89_RT1, DNaseplus10000	NOCALC	16.2583	3	24.4881	0.333109	0
tpt1	_81_RT2, DNase	NOCALC	9.26942	6	25.3338	0.00145929	0
tpt1	_82_RT2, DNaseplus500	NOCALC	8.46586	6	17.5177	0.188424	0
tpt1	_83_RT2, DNaseplus2500	NOCALC	9.40953	6	15.5285	1.43887	0
tpt1	_84_RT2, DNaseplus10000	NOCALC	8.38347	6	13.963	2.09115	0
tpt1	_85_RT1, DNase	NOCALC	9.494	6	24.1944	0.00375616	0
tpt1	_86_RT1, DNaseplus50	NOCALC	9.39012	6	21.2039	0.0277779	0
tpt1	_87_RT1, DNaseplus500	NOCALC	9.32387	6	18.8147	0.138987	0
tpt1	_88_RT1, DNaseplus2500	NOCALC	8.98183	6	16.3449	0.607418	0
tpt1	_89_RT1, DNaseplus10000	NOCALC	9.43744	6	15.5772	1.41827	0
ltf	_81_RT2, DNase	NOCALC	17.0003	3	34.6767	0.000477388	0
ltf	_82_RT2, DNaseplus500	NOCALC	16.2665	3	26.8606	0.0646952	0
ltf	_83_RT2, DNaseplus2500	NOCALC	17.0056	3	24.8714	0.428722	0
ltf	_84_RT2, DNaseplus10000	NOCALC	15.5384	3	23.306	0.458921	0
ltf	_85_RT1, DNase	NOCALC	15.108	3	33.5373	0.000283286	0
ltf	_86_RT1, DNaseplus50	NOCALC	15.2388	3	30.5468	0.00246513	0
ltf	_87_RT1, DNaseplus500	NOCALC	15.2922	3	28.1576	0.0133999	0
ltf	_88_RT1, DNaseplus2500	NOCALC	14.8731	3	25.6879	0.0555179	0
ltf	_89_RT1, DNaseplus10000	NOCALC	15.2237	3	24.9201	0.120531	0
atf4	_81_RT2, DNase	NOCALC	20.0456	6	27.1335	0.735062	0
atf4	_82_RT2, DNaseplus500	NOCALC	18.6707	6	19.3173	63.876	0
atf4	_83_RT2, DNaseplus2500	NOCALC	17.251	6	17.3281	94.792	0
atf4	_84_RT2, DNaseplus10000	NOCALC	15.64	6	15.7627	91.8468	0
atf4	_85_RT1, DNase	NOCALC	21.9988	6	25.994	6.27063	0
atf4	_86_RT1, DNaseplus50	NOCALC	21.9653	6	23.0036	48.691	0
atf4	_87_RT1, DNaseplus500	NOCALC	20.1491	6	20.6144	72.4313	0
atf4	_88_RT1, DNaseplus2500	NOCALC	18.0031	6	18.1446	90.6575	0
