Chip Run Info	D:\laurell\Results\Fluidigm\Anne Abot\eraaf-090211\ChipRun.bml	1361517098	96.96 (136x)	96x96_qPCR (10min Hot Start : 35cyc) plus MCA 	ROX	EvaGreen at 20C	09/02/2011 10:39	01:34:30	BIOMARK077																																																																																								
Application Version	3.0.2																																																																																																
Application Build	20100811.22																																																																																																
Export Type	Heatmap Results : Inlet-based View																																																																																																
Quality Threshold	0.65																																																																																																
Baseline Correction Method	Linear																																																																																																
Ct Threshold Method	Auto (Detectors)																																																																																																


EvaGreen at 20C Ct																																																																																																	
		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
84	RT2, DNaseplus10000	7.450199244	12.36774156	11.83214016	16.6764365	14.95990344	14.59209392	10.30977223	12.27001269	13.76198512	11.27283645	16.37529908	18.0031492	13.42878537	8.704181337	12.95101755	14.43332216	13.35628117	11.6526711	12.68537845	13.55919174	14.68029573	14.19892287	21.53579198	14.65758078	11.04050175	12.3263196	16.23542068	13.82173377	11.31037161	13.30343902	12.52386167	16.21469445	13.80944235	12.78618449	24.53168937	14.27850787	8.383470917	15.53842755	15.64000294	14.36279805	13.21137154	14.28857167	15.38960892	14.0888818	11.77597097	14.86843564	13.19684143	14.21782148	18.94147602	11.84994128	14.77933148	16.95263713	12.5430429	11.70468014	14.81116612	13.37393443	15.1994822	13.98698805	16.30316976	14.12057774	12.04764788	13.83156508	12.58306833	13.77630322	14.69898845	16.14608772	12.19879924	11.54267777	13.93597846	13.51305331	14.51222064	14.87235511	12.53534434	18.62299849	15.13298201	12.31563613	15.1526592	15.55407836	13.3056486	16.07678967	13.805028	17.55927663	14.78127145	15.91061789	12.52149022	13.01848706	12.96508602	12.64234124	14.03496347	15.26441415	14.95547295	19.85509428	11.48535787	12.03275515	12.90322839	21.15160327
85	RT1, DNase	11.67861881	14.95496479	12.89543012	18.37781078	25.20085534	16.98191578	15.3488358	14.72346759	16.47891667	13.93526195	19.98270134	21.76515093	16.33773284	10.4850422	13.9375653	15.54438873	16.78968894	15.62531287	17.43209887	17.27549193	15.79820222	999	23.62160222	19.61767827	12.69322768	18.17916476	20.26647278	19.05412795	17.0393284	16.07315804	16.49719433	20.2454516	15.29150168	15.403634	29.08647115	16.10953559	9.493995977	15.10800249	21.99880368	25.18477411	15.44944912	16.64664732	18.73892022	16.88322821	13.36733175	15.72254447	17.49279514	16.6585639	21.2118172	15.57905867	25.01067823	17.94070924	14.2723366	16.14825685	16.70930389	17.33900111	23.84285205	13.70446056	18.51494004	15.60966781	20.50263629	15.65031314	14.52604205	15.79711327	17.41274676	17.25554417	16.85084172	15.3960299	16.01423024	15.42365069	16.23569437	19.05708719	21.57219272	22.04663862	19.99447324	20.24073028	18.07240305	17.98280534	17.01210738	17.67018264	18.58628149	18.07721341	999	22.15866542	21.62844449	13.74112479	17.79755373	13.61079304	17.60527884	19.53393604	16.61252403	19.54265712	19.26465717	17.89946532	15.41241532	999
86	RT1, DNaseplus50	11.64774579	14.40958152	12.8906346	18.63218075	22.65945778	17.08325085	15.310725	14.73332575	16.97654746	13.94890319	20.03309382	22.55002045	16.21194388	10.3814152	13.89564207	15.57231847	16.83787225	15.1576404	17.65840975	17.12494943	15.69786687	21.55418208	23.48088581	19.56426372	12.58842532	18.18579402	20.16522579	19.27219172	17.12043339	15.399632	16.67508161	20.08239624	15.46995071	15.53655806	999	16.22601478	9.390115182	15.23884759	21.96528683	22.88087219	15.45327857	16.75616455	19.08459568	16.85436954	13.39878673	15.67920743	17.42609529	16.69675928	21.31271826	15.53648906	22.02018924	17.97550844	14.25299646	16.10241819	16.59502556	17.37159327	23.31834045	13.57713055	18.41596291	15.64327453	19.42392835	15.56004203	14.59045104	15.64156115	17.6403284	17.82207328	16.71272328	15.31689184	16.15108032	15.18389042	16.27529112	18.86395512	20.12447931	22.46430237	20.31901191	19.91159246	18.98641869	18.39737966	17.13312071	17.78685321	18.76592341	18.11586797	22.25522996	21.73811447	20.19462424	13.79912312	17.81717866	13.56089025	17.47007545	19.78629734	16.25352083	19.98749443	18.30392216	18.07076764	15.72504432	999
87	RT1, DNaseplus500	10.86932394	14.53813043	12.81290328	18.4486442	19.61825552	16.72202644	15.18318194	14.78031475	17.09867867	14.07410886	20.28608401	22.75595607	16.02914801	10.3581103	13.93134269	15.90367514	17.01167383	14.7900314	17.79938336	17.32469024	15.84777449	18.73574517	23.22387379	19.53277634	12.72165999	18.07933871	21.02768855	19.59671512	17.31268308	15.31056963	16.7458402	20.00518095	15.44228337	15.67535937	999	16.32326143	9.323869224	15.29215285	20.14906485	18.9676099	15.29489468	16.78742644	18.70514431	16.66719924	13.36750148	15.77628886	17.53850202	16.67697598	21.79342283	15.51230462	19.63100872	17.99262952	14.18967964	16.06802191	16.75977835	17.41802175	20.05421965	13.55572033	18.60536173	15.55319168	16.57701249	15.61200982	14.60857299	15.69334434	17.69394565	18.04628949	16.78864766	14.97495376	16.40600352	15.20134307	16.34756001	18.95621192	17.13566282	22.09672606	20.40211442	18.86293537	18.94615492	18.35893442	16.95529667	17.84369323	18.52110931	18.36233448	19.45159173	20.34066763	17.00473202	13.84865566	17.7389993	13.71241442	17.5445046	19.72464352	16.55257034	19.70814914	15.9470671	18.17208518	15.64331412	999
88	RT1, DNaseplus2500	9.604019425	14.10427626	12.49475088	17.86334308	17.66461927	16.16890791	14.7882949	14.5180202	16.43903521	13.64815368	20.03581101	21.593731	15.62228513	10.15036369	13.56378965	15.20059091	16.58739998	13.77717648	16.73072644	16.77222199	15.41406501	16.64286606	23.31679793	19.22803102	12.26935978	17.79586529	20.80012029	18.85279773	16.74826969	15.07059334	16.27333108	19.64927566	14.76850264	15.08744154	999	15.75513524	8.981825293	14.87309476	18.00309026	16.78313753	14.95046228	15.74424598	18.03151562	16.40853983	12.94315599	15.36288334	16.49596757	15.59861565	21.69270182	15.16791623	17.16122073	17.67050153	13.62267361	15.44675556	16.33999187	16.97024527	17.65366009	13.28697215	18.18386966	15.2881821	14.36151505	15.23430794	14.24613569	15.35361197	17.18271075	17.44240955	16.50461151	13.90125768	15.88479282	14.89500265	15.87456863	18.35851693	14.90815271	21.8594489	19.04630017	17.53218385	18.39122055	17.80062997	16.63748643	17.39328424	17.58080151	18.11147957	17.07956692	18.43994146	14.86402268	13.48920054	17.23782619	13.41484352	17.19919572	19.2926104	16.01263602	19.3663333	13.73892051	17.35027674	15.16571513	27.98887414
89	RT1, DNaseplus10000	8.878560576	14.66722945	12.76790412	17.65188136	16.39928667	15.83928955	14.89704558	14.87663532	16.90564881	14.13679709	20.64175432	22.29244933	16.21834841	10.4282096	13.88966716	15.346617	17.03283158	13.41706661	16.45107847	17.30516037	15.94401546	15.56452143	23.60127006	19.82982874	12.90325345	18.37114041	21.12591568	19.19736899	16.99862182	15.52986762	16.7130476	20.15912465	15.1657253	15.53655661	27.22280062	16.25826706	9.437439458	15.22371772	16.97942177	15.73501615	15.39939945	15.51337319	17.44807439	16.91760053	13.40192203	15.85223142	16.25104741	15.43732487	22.15491935	15.55624115	16.39346879	18.01881792	13.46597555	15.40326037	16.83841348	17.37470703	16.85825192	13.77897592	18.76982809	15.65115401	13.26233404	15.59509953	14.67018141	16.03552996	17.44223117	17.89986059	16.99491487	13.37402283	16.36159944	15.39739461	16.43397092	18.94109683	13.82077227	22.59036653	18.76902992	16.85422714	18.6098825	17.8252978	17.24077953	17.97116564	17.04115021	18.43510305	16.21190202	17.37657547	13.77400505	13.85314518	17.17442956	13.7894854	17.70995273	19.796962	16.79543365	19.70837104	12.91169169	17.28481533	15.49640864	999

Quality Results																																																																																																	
		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
		gapdh	itgb1	igfbp5	sox4	m10qA1_3	tgfbeta3	egr1	lnc2	pgr	hspa5	fam65b	cxcr7	hprt1	ubb	igfbp6	sox17	gadd45a	ptp4a1	cyr61	aars	ar	m15qE3_2	esr1 labo	errfi1	col6a1	fos	atf3	p21	gadd45g	pten	ramp3	cars	esr1 ex1	ipo5	pno1	gja1	tpt1	ltf	atf4	m5qF_2	mapk1	pik3r2	adm	hars	esr1 ex4/5	tnxb	ler2	ctsf	egf julien	igf1	m1qB_2	ccng2	mapk3	rasd1	bcl2	psat1	esr2 labo	txnip	gbp2	akap8l	HLpool  1-10	igf1r	myc	ccnd1	dusp6	ptov1	aldh1a2	odc	ets2	klc1	dio2	mki67	HLpool 5pr non-dil 	igfbp2	junb	mad2l1	akt1	nfkbia	tgfbeta1	egfr	sprr2f	hdac5	m19qB_2	m19qC3_3	HLpool 5pr dil 	igfbp3	cebpb	ptrf	ptp1b	hbegf	lepr	gpr30	klk1	inhbb	id1	pcna
75	gDNA 10000	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Fail	Fail	Fail	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Fail	Fail	Pass	Pass	Pass	Fail	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Fail	Pass	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Fail
76	gDNA 5000	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Fail	Fail	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Fail	Pass	Pass	Pass	Fail	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Fail
77	gDNA 2500	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Fail	Fail	Pass	Pass	Pass	Fail	Fail	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Fail	Pass	Pass	Pass	Pass	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Fail
78	gDNA 500	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Fail	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Fail
79	gDNA 50	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Fail	Fail	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Fail	Fail	Pass	Pass	Fail	Pass	Fail	Fail	Fail	Pass	Pass	Pass	Fail	Fail	Pass	Fail	Pass	Pass	Fail	Pass	Pass	Fail	Fail	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Fail	Pass	Pass	Fail	Pass	Fail	Pass	Pass	Fail	Pass	Fail	Fail	Fail	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Fail	Fail	Fail	Pass	Pass	Pass	Pass	Fail
80	gDNA 5	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Fail	Fail	Fail	Pass	Fail	Fail	Pass	Pass	Fail	Pass	Fail	Fail	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Fail	Fail	Fail	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Fail	Fail	Fail	Pass	Fail	Fail	Pass	Pass	Fail	Fail	Pass	Fail	Fail	Fail	Fail	Pass	Fail	Fail	Pass	Fail	Pass	Fail	Pass	Pass	Fail	Pass	Fail	Pass	Pass	Pass	Fail	Fail	Fail	Fail	Pass	Pass	Fail	Pass	Fail
81	RT2, DNase	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail
82	RT2, DNaseplus500	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Pass	Fail
